Day,Activity,Type,Duration (minutes),Notes,Phase,Delivery_Type,Pelvic_Floor_Safe,Diastasis_Safe,Mood_Boost_Score,Energy_Level_Required,Breathwork_Integrated,Equipment_Needed,Focus_Area,Contraindications,Instructions,Trainer_Note
1,Pelvic floor exercises,Indoor,10,Focus on gentle Kegel exercises,Early Postpartum (0–6 weeks),Vaginal,No,Yes,4,Medium,No,Yoga Mat,Full Body,Avoid with C-Section,"Perform 'Pelvic floor exercises' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Pelvic floor exercises'.
1,Short walk,Outdoor,15,"Take a slow, comfortable walk",Early Postpartum (0–6 weeks),C-Section,Yes,No,3,Medium,No,None,Cardio,None,"Perform 'Short walk' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Short walk'.
2,Breathing exercises,Indoor,10,Deep diaphragmatic breathing,Intermediate (6–12 weeks),Both,Yes,Yes,2,High,No,Yoga Mat,Full Body,Avoid with Diastasis Recti,"Perform 'Breathing exercises' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Breathing exercises'.
2,Stretching routine,Indoor,10,Gentle full-body stretches,Early Postpartum (0–6 weeks),Both,No,Yes,5,Low,Yes,Light Weights,Cardio,Consult Doctor if Pelvic Pain,"Perform 'Stretching routine' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Stretching routine'.
3,Light yoga,Indoor,15,Focus on restorative poses,Advanced (12+ weeks),Both,Yes,No,5,High,No,Chair,Full Body,Consult Doctor if Pelvic Pain,"Perform 'Light yoga' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Light yoga'.
3,Short walk,Outdoor,20,Gradually increase your pace,Intermediate (6–12 weeks),Both,Yes,Yes,2,Medium,Yes,Chair,Pelvic Floor,Avoid with C-Section,"Perform 'Short walk' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Short walk'.
4,Seated leg lifts,Indoor,10,Strengthen lower body,Intermediate (6–12 weeks),Vaginal,Yes,No,4,High,Yes,Yoga Mat,Mobility,Consult Doctor if Pelvic Pain,"Perform 'Seated leg lifts' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Seated leg lifts'.
4,Park stroll,Outdoor,20,Choose a relaxing outdoor space,Intermediate (6–12 weeks),C-Section,No,No,1,High,Yes,Yoga Mat,Flexibility,None,"Perform 'Park stroll' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Park stroll'.
5,Core activation,Indoor,10,Gentle postpartum-safe core work,Early Postpartum (0–6 weeks),C-Section,No,Yes,3,Medium,Yes,Yoga Mat,Pelvic Floor,Avoid with Diastasis Recti,"Perform 'Core activation' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Core activation'.
5,Family walk,Outdoor,30,Include baby in a stroller,Intermediate (6–12 weeks),Vaginal,Yes,Yes,1,High,Yes,Light Weights,Flexibility,None,"Perform 'Family walk' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Family walk'.
6,Stretching routine,Indoor,15,Focus on back and shoulders,Early Postpartum (0–6 weeks),C-Section,Yes,Yes,1,Medium,No,None,Core Reconnection,Avoid with Diastasis Recti,"Perform 'Stretching routine' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Stretching routine'.
6,Park yoga,Outdoor,20,Gentle stretching outside,Early Postpartum (0–6 weeks),Both,Yes,No,3,Medium,No,Light Weights,Pelvic Floor,None,"Perform 'Park yoga' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Park yoga'.
7,Restorative yoga,Indoor,15,Use props to support recovery,Advanced (12+ weeks),Vaginal,No,No,4,High,Yes,Light Weights,Full Body,Consult Doctor if Pelvic Pain,"Perform 'Restorative yoga' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Restorative yoga'.
7,Short hike,Outdoor,30,Choose an easy trail,Early Postpartum (0–6 weeks),C-Section,Yes,No,5,Medium,No,None,Full Body,Avoid with Diastasis Recti,"Perform 'Short hike' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Short hike'.
8,Pelvic floor exercises,Indoor,10,Build strength,Early Postpartum (0–6 weeks),Both,No,No,1,Low,Yes,Chair,Full Body,None,"Perform 'Pelvic floor exercises' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Pelvic floor exercises'.
8,Walk around the neighborhood,Outdoor,20,Enjoy fresh air,Advanced (12+ weeks),Both,Yes,No,2,Low,Yes,Resistance Band,Full Body,None,"Perform 'Walk around the neighborhood' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Walk around the neighborhood'.
9,Light dumbbell workout,Indoor,15,Use 1-2 lb weights,Intermediate (6–12 weeks),Vaginal,Yes,Yes,2,Medium,Yes,Resistance Band,Full Body,Avoid with Diastasis Recti,"Perform 'Light dumbbell workout' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Light dumbbell workout'.
9,Slow jog (if ready),Outdoor,20,Alternate with walking,Early Postpartum (0–6 weeks),C-Section,No,No,5,Low,Yes,Chair,Mobility,Avoid with C-Section,"Perform 'Slow jog (if ready)' slowly, focusing on breath and control.",Ensure you're cleared by a healthcare provider before doing 'Slow jog (if ready)'.
