Meal Type,Food Items,Nutritional Value,Purpose,Customization Options,Dietary Restrictions,Cultural Preferences,Nutritional Goals
Dinner,"Brown rice, dal, ghee, spinach sabzi","Gut-friendly, light carbs","Soothe digestion, reduce bloating",Serve with curd or lemon,Nut-free,Western,Promote healing
Dessert,Cumin + Ajwain water,"Probiotics, complex carbs","Boost energy, support lactation",Use jaggery instead of sugar,Low FODMAP,Western,Strengthen bones
Dessert,Soft khichdi with vegetables,"High fiber, protein, omega-3s","Boost energy, support lactation",Swap dairy with plant-based options,Soy-free,Ayurvedic,Support energy levels
Breakfast,Boiled moong sprouts with lemon & salt,"Gut-friendly, light carbs",Hydration and nourishment,Add ghee or olive oil,Vegan,Western,Boost iron
Dinner,Paratha with methi + curd,"Iron, magnesium, potassium",Enhance milk production,Use jaggery instead of sugar,Dairy-free,African,Reduce inflammation
Dessert,Ragi porridge with jaggery,"Gut-friendly, light carbs",Enhance milk production,Serve with curd or lemon,Low FODMAP,Indian traditional,Support energy levels
Breakfast,Chickpea hummus with cucumber,"Probiotics, complex carbs",Improve sleep quality,Substitute grains or pulses,Dairy-free,Ayurvedic,Improve digestion
Lunch,Barley soup with herbs,"Gut-friendly, light carbs","Aid digestion, build immunity",Substitute grains or pulses,Gluten-free,Middle Eastern,Support energy levels
Lunch,Quinoa with tofu and steamed broccoli,"Antioxidants, healthy fats",Improve sleep quality,Substitute grains or pulses,Low FODMAP,Western,Reduce inflammation
Beverage,"Brown rice, dal, ghee, spinach sabzi","Probiotics, complex carbs","Aid digestion, build immunity",Serve with curd or lemon,Nut-free,Middle Eastern,Support milk production
Dessert,Roasted makhana,"Antioxidants, healthy fats","Aid digestion, build immunity",Add seasonal veggies or spices,Nut-free,African,Improve digestion
Lunch,Roasted makhana,"Probiotics, complex carbs","Soothe digestion, reduce bloating",Add seasonal veggies or spices,Dairy-free,Fusion,Improve sleep
Dinner,Stewed apple with cinnamon,Rich in iron and calcium,"Strengthen bones, improve hemoglobin",Use jaggery instead of sugar,Nut-free,African,Promote healing
Breakfast,Fenugreek seed tea,"Gut-friendly, light carbs","Boost energy, support lactation",Add seasonal veggies or spices,Dairy-free,African,Strengthen bones
